DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
,,,Discrete Choice Analysis: Theory and Application to Travel Demand,"This book, which is intended as a graduate level text and a general professional reference, presents the methods of discrete choice analysis and their applications in the modeling of transportation systems. The first seven chapters provide a basic introduction to discrete choice analysis that covers the material needed to apply basic binary and multiple choice models. The chapters are as follows: introduction; review of the statistics of model estimation; theories of individual choice behavior; binary choice models; multinomial choice; aggregate forecasting techniques; and tests and practical issues in developing discrete choice models. The rest of the chapters cover more advanced material and culminate in the development of a complete travel demand model system presented in chapter 11. The advanced chapters are as follows: theory of sampling; aggregation and sampling of alternatives; models of multidimensional choice and the nested logit model; and systems of models. The last chapter (12) presents an overview of current research frontiers.","Moshe Ben-Akiva,M Ben-Aakiva,Steven R Lerman,Steven R. Lerman",,1985
10.1016/j.tra.2006.05.013,,,"Performance, importance and user disgruntlement: a six-step method for measuring satisfaction with travel modes.","The technique described in this paper builds on work in the customer service literature on the measurement of customer dissatisfaction to develop a new way of combining measures of performance (how well is this aspect of a service being delivered?) and importance (how important is it to you that this aspect is delivered well?) to give a measure labelled here user disgruntlement. This dissatisfaction measure is plotted against importance to provide a graphic representation of which aspects of service are in most urgent need of improvement. Examples are given from three recent studies conducted by the authors, showing how the technique may be used in the transport domain to compare different aspects of a particular service (e.g., user satisfaction with bus interchange), to compare across modes (e.g., user satisfaction with trips to a leisure location by car and bus), or to compare within a mode across population sub-groups (e.g., younger and older able-bodied pedestrians’ satisfaction with a walking environment).","Stephen G. Stradling,Jillian Anable,Michael Carreno",Transportation Research Part A-policy and Practice,2007
10.1016/j.sbspro.2012.09.729,,,Structural Equation Modelling for Analysing Passengers’ Perceptions about Railway Services,"In this work a tool for analysing passengers’ perceptions in terms of satisfaction with transit services is proposed. Specifically, a structural equation model is formulated to explore the impact of the relationship between global customer satisfaction and service quality attributes, such as safety, cleanliness, main and additional services, information, and personnel. We analyse the services offered by rail operators in the Northern Italy; specifically, 32 regional lines and 9 suburban lines connecting different towns of the hinterland of the city of Milan, and 2 express lines connecting Milan with the Malpensa airport are analysed. To calibrate the model, data collected in a survey addressed to a sample of more than 16,000 passengers are used. The survey was conducted in June 2011. The proposed model can be useful both to transport agencies and planners to analyze the correlation between service quality attributes and identify the most convenient attributes for improving the supplied service. The main findings are that service characteristics like punctuality, regularity and frequency of runs, and cleanliness have the highest positive effect on service quality. While also comfort and information have a notable positive effect, personnel and safety have a not very considerable effect.","Laura Eboli,Gabriella Mazzulla",Procedia - Social and Behavioral Sciences,2012
10.5038/2375-0901.10.4.5,,,User Perceptions of Private Paratransit Operation in Indonesia,"In this paper, public perception is expressed by user participation in rating a travel mode’s condition and users' loyalty to it. The aim is to explore user perceptions of privately owned paratransit service operations, regarding quality of service, frequency of negative experience, and loyalty. The paper examines the condition of paratransit from the user’s point of view to balance the judgment from other stakeholders. Findings from path analysis reveal the key determinants that influence overall satisfaction. Moreover, path analysis supports the hypothesis that this mode will still be relevant in the future, as there is a community base that uses this mode faithfully. Binomial regression analysis explores the characteristics of this loyal user group. It can be concluded that the existence of paratransit in the future is still acceptable in developing countries such as Indonesia.","Tri Basuki Joewono,Hisashi Kubota",The Journal of Public Transportation,2007
10.1348/000712605x61723,16613647,,The role of affect in UK commuters' travel mode choices: An interpretative phenomenological analysis,"Previous research has suggested that the choice between public transport and private car use is not solely based on utility considerations, such as time and cost. However, affective considerations tend not to be targeted in policy interventions to reduce car use. This may be due, in part, to a lack of clarity about which affective responses to car use are important and how they may affect willingness to switch to public transport. This study sought to clarify the role of affective responses in transport mode choice. An interpretative phenomenological analysis (IPA) of car users' accounts was conducted to (i) explore affect associated with decisions to drive or use public transport to get to work; and (ii) describe the role of affect on such transport decisions, and its relationship to utility considerations. Semi-structured interviews were conducted with 18 car users employed at a medium-sized UK university. Four affect themes were identified: These were journey-based affect (JBA), personal space, autonomy and identity. Typical 'utility' factors such as time, cost and reliability had important affective effects, and these were considered alongside utility components (e.g. getting to work on time). However, these effects were not always additive, and the role of affect depended on participants' own assessment of their circumstances. Implications for interventions are discussed.","Eleanor Mann,Charles Abraham",British Journal of Psychology,2006
10.1016/j.jbusres.2006.10.009,,,Importance values for Importance–Performance Analysis: A formula for spreading out values derived from preference rankings,"Abstract   Importance–Performance Analysis (IPA) is a simple and useful technique for identifying those attributes of a product or service that are most in need of improvement or that are candidates for possible cost-saving conditions without significant detriment to overall quality. To this end, a two-dimensional IPA grid displayed the results of the evaluation about importance and performance of each relevant attribute. This paper shows that ordinal preferences are better than metric measures of the importance dimension and proposes a formula to transform the ordinal measure into a new metric scale adapted to the IPA grid. This formula makes allowances for the total number of features considered, the number of rankings, and the reported orders of preference.","Javier Abalo,Jesús A. Varela,Vicente Manzano",Journal of Business Research,2007
10.1007/s11116-007-9119-7,,,User satisfaction with paratransit in competition with motorization in indonesia: anticipation of future implications,"The rapid pace of motorization throughout the world has changed travel behavior, which in turn has influenced every aspect of transport operations. This impact has also increasingly challenged the future existence of such road-based urban public transport as paratransit due to its characteristics and problems, especially in developing countries. Since creating satisfied users can help retain paratransit’s existence, this research aims to explore user satisfaction with paratransit service in order to anticipate future implications for its competition with motorization in Bandung, Indonesia. It establishes important factors and attributes to explain user perceptions and priorities regarding the service. Its hypotheses explain how users measure paratransit’s quality of service, inferring that they are likely to continue to use it. Even though users are dissatisfied with several aspects of paratransit, and the impact of competition has been strong, loyal users can still be found. By considering the findings, existing problems of inappropriate-quality service can be addressed to satisfy users’ expectations. The study also suggests some anticipation of winning the competition with motorization.","Tri Basuki Joewono,Hisashi Kubota",Transportation,2007
10.5038/2375-0901.7.4.3,,,IMPLEMENTING QUALITY IMPROVEMENTS IN PUBLIC TRANSPORT,"Abstract The present study addresses two questions: (1) what effect do quality improvements have on satisfaction with public transport services? (2) What effect do quality improvements have on passengers perceived frequency of negative critical incidents? A representative sample of persons aged 16-75 years old in the thirteen regions in Sweden conducting quality improvements in public transport were used. Data were collected before it started and also after the improvements had been completed (n=2797). The pre-and post samples consisted of independent groups of respondents. The response rate was 54%. The main conclusion of the study is that the satisfaction people experience when using public transport services is influenced by quality improvements only to a limited extent. Furthermore, the effect was directionally opposite in that the respondents reported less satisfaction and higher frequencies of negative critical incidents after the quality improvements had been implemented",Margareta Friman,The Journal of Public Transportation,2004
10.1016/s0967-070x(03)00015-5,,,Constraints affecting mode choices by morning car commuters,"In New Zealand as elsewhere, there is an increasing interest in alleviating congestion on the road transport network to improve economic productivity, reduce pollution, and to use the transport network more effectively. Governments enact various policies to encourage car drivers to change their behaviour, but often find that the full impact is not reached. We propose that car drivers have constraints influencing their mode choice for the morning peak period trip (e.g. needing to transport children, needing a car for work during the day). A stated preference experiment conducted in the three largest New Zealand urban areas not only quantifies the likely impact of a wide range of policy tools (both 'sticks' discouraging car use, and 'carrots' encouraging alternative modes) for each area, but also identifies many significant constraints.","Carolyn O'Fallon,C Sullivan,David A. Hensher",Transport Policy,2004
10.1016/j.tra.2008.08.002,,,Access to railway stations and its potential in increasing rail use,"The propensity to travel by rail, and not, for example by car, can be considered to be a factor of the rail service offered, the access to it and the characteristics of the population served. Efforts to increase rail use usually focus on the rail service itself while the accessibility of the rail network receives less attention. In this context, the paper has two broad aims. First, to evaluate how important the 'access-to-the-station' part of a rail journey is to passengers in their overall satisfaction with the rail journey and second, to investigate the balance between characteristics of the service, the access to it and the population served in determining rail use in different parts of the rail network. The analysis is carried out for the Netherlands. To achieve the first aim, we use the Dutch Railways customer satisfaction survey and apply principal component analysis and derived importance techniques to assess the relative importance of accessibility in determining the overall satisfaction with the rail journey. For the second aim, we use regression analysis to explain, at the Dutch postcode level, the propensity to use rail. We find that satisfaction with the level and quality of the access to the station is an important dimension of the rail journey which influences the overall satisfaction from that journey and that the quality and level of accessibility is an important element in explaining rail use. The conclusion reached is that in many parts of the rail network improving and expanding access services to the railway station can substitute for improving and expanding the services provided on the rail network and that it is probably more cost efficient when the aim is to increase rail use. These parts of the network are mainly in the periphery where the current level of rail service is relatively low.","Martijn Brons,Moshe Givoni,Piet Rietveld,Piet Rietveld",Transportation Research Part A-policy and Practice,2009
10.1016/j.tranpol.2010.07.007,,,A methodology for evaluating transit service quality based on subjective and objective measures from the passenger’s point of view,"In this paper a methodology for measuring transit service quality is proposed. The methodology is based on the use of both passenger perceptions and transit agency performance measures involving the main aspects characterizing a transit service. The combination of these two types of service quality measurement fulfils the need to provide a reliable as possible measurement tool of the transit performance. Considering passenger perceptions is fundamental because the customer's point of view is very relevant for evaluating the performance of a transit service. At the same time, the use of a more objective measurement provided by the transit agency can be a useful solution for obtaining a more comprehensive service quality measurement. The proposed procedure is applied to a real case study of a suburban bus line; a series of subjective and objective indicators are calculated on the basis of users' perception about the service and measurements provided by the transit agency.","Laura Eboli,Gabriella Mazzulla",Transport Policy,2011
10.1016/0094-1190(86)90030-6,,,Efficiency of resource usage and city size,,J. Vernon Henderson,Journal of Urban Economics,1986
10.1016/j.tra.2007.06.006,,,Measuring the quality of service for passengers on the hellenic railways,"The objective of this paper is to present a framework developed for assisting railway operators into monitoring and controlling the quality of services provided to their passengers. This framework is based on the estimation of 22 indicators, grouped under six criteria, i.e. itinerary accuracy, system safety, cleanness, passenger comfort, servicing, and passenger information. The valuation of the indicators is achieved through the analysis of quantitative, as well as qualitative parameters obtained either from statistical sources maintained by the railway operator, or data gathered from a questionnaire survey addressed to passengers. A grading system has been defined for the appreciation of the indicators. Also, a multicriteria evaluation has been developed for the estimation of an overall performance index for the quality of services provided by the operator, during a given period of analysis, which enables the decision makers to compare amongst different time horizons, and pre-defined objectives for a desired performance for a target year. The framework has been implemented in the Hellenic Railways and has provided quality control indices for the individual indicators, as well as for the overall performance of the network. Itinerary accuracy and system safety have been attributed the highest grades, as compared to the rest of the criteria established by the framework, indicating a small increase as compared to those grades of the previous time horizon analyzed. The rest of the criteria, relying on qualitative indicators, were valuated with a moderate grade, similar to the one attributed during the last time horizon of the analysis, indicating that no improvement has been observed in the services related to those indicators. The service quality valuation based on the above framework constitutes a useful tool, for the support of the decision process for the improvement of the railway operator.",Eftihia Nathanail,Transportation Research Part A-policy and Practice,2008
,,,Fighting Traffic: The Dawn of the Motor Age in the American City,"Before the advent of the automobile, users of city streets were diverse and included children at play and pedestrians at large. By 1930, most streets were primarily a motor thoroughfares where children did not belong and where pedestrians were condemned as ""jaywalkers."" In Fighting Traffic, Peter Norton argues that to accommodate automobiles, the American city required not only a physical change but also a social one: before the city could be reconstructed for the sake of motorists, its streets had to be socially reconstructed as places where motorists belonged. It was not an evolution, he writes, but a bloody and sometimes violent revolution. Norton describes how street users struggled to define and redefine what streets were for. He examines developments in the crucial transitional years from the 1910s to the 1930s, uncovering a broad anti-automobile campaign that reviled motorists as ""road hogs"" or ""speed demons"" and cars as ""juggernauts"" or ""death cars."" He considers the perspectives of all users--pedestrians, police (who had to become ""traffic cops""), street railways, downtown businesses, traffic engineers (who often saw cars as the problem, not the solution), and automobile promoters. He finds that pedestrians and parents campaigned in moral terms, fighting for ""justice."" Cities and downtown businesses tried to regulate traffic in the name of ""efficiency."" Automotive interest groups, meanwhile, legitimized their claim to the streets by invoking ""freedom"" -- a rhetorical stance of particular power in the United States. Fighting Traffic offers a new look at both the origins of the automotive city in America and how social groups shape technological change.",Peter Norton,,2008
10.1016/j.tranpol.2007.02.003,,,Passenger perceptions and the ideal urban bus journey experience,"Respondents living close to a Quality Bus Corridor indicated which of 68 items were 'Things I dislike or things that discourage me from using the bus in Edinburgh'. Eight underlying factors are reported: feeling unsafe (e.g., 'Drunk people put me off travelling by bus at night'); preference for walking or cycling (e.g., 'I prefer to walk'); problems with service provision (e.g., 'No direct route'); unwanted arousal (e.g., 'The buses are too crowded'); preference for car use (e.g., 'I feel more in control when I drive'); cost (e.g., 'The fares are too expensive'); disability and discomfort (e.g., 'There are not enough hand rails inside the bus'); and self-image (e.g., 'Travelling by bus does not create the right impression'). The influence of age, gender, household income, car availability and frequency of bus use on factor scores is reported. Analysis of write-in responses extended interpretation to include travelling by bus as a social behaviour in an exchange space and a formulation of the ideal, 'hassle-free', urban bus journey as pleasant/deactivated.","Stephen G. Stradling,Michael Carreno,Tom Rye,Allyson F Noble",Transport Policy,2007
10.5038/2375-0901.10.3.2,,,Service Quality Attributes Affecting Customer Satisfaction for Bus Transit,"This paper proposes a tool for measuring customer satisfaction in public transit. Specifically, a structural equation model is formulated to explore the impact of the relationship between global customer satisfaction and service quality attributes. The public transit service analyzed is the bus service habitually used by University of Calabria students to reach the campus from urban area of Cosenza (southern Italy). To calibrate the model, data collected in a survey addressed to a sample of students was used. The proposed model can be useful both to transport agencies and planners to analyze the correlation between service quality attributes and identify the more convenient attributes for improving the supplied service.","Laura Eboli,Gabriella Mazzulla",The Journal of Public Transportation,2007
10.1016/s1369-8478(01)00020-1,,,INSTRUMENTAL-REASONED AND SYMBOLIC-AFFECTIVE MOTIVES FOR USING A MOTOR CAR,"This study was aimed at clarifying the relative importance of symbolic-affective as opposed to instrumental-reasoned motives for car use. We examined which motivational dimensions are underlying the (un)attractiveness of car use, in order to distinguish a limited set of main motive categories. Three methods were developed, which differed in the extent to which the purpose of the task was apparent. The tasks were: (1) a similarity sorting of car-use episodes, (2) a Q-sorting following attractiveness of car-use episodes, and (3) a semantic-differential method for evaluating (un)attractive aspects of car use. The symbolic-affective motives for car use were better expressed when the aim of the research task was not too apparent. If the aim of the task was evident, respondents tended to evaluate car use in terms of instrumental-reasoned motives. Overall, the results indicate that both instrumental-reasoned and symbolic-affective functions of the motor car are significant dimensions underlying the attractiveness of car use.","Linda Steg,Charles Vlek,C.A.J. Vlek,Goos Slotegraaf",Transportation Research Part F-traffic Psychology and Behaviour,2001
10.1016/j.tranpol.2008.06.002,,,Public transit user satisfaction: Variability and policy implications,"This research focuses on passenger's perception of transit performance with an emphasis on the variability between operators and the policy implications of such differences. Two statistical methods (factor analysis and ordered logit modeling) have been used to assess the quality implications of the variability of the users' perceived satisfaction across operators. A market segmentation analysis (between male and female respondents) provides further insight into the differences among groups of the population. Five transit systems in the two major conurbations in Greece, Athens and Thessaloniki, have been examined. The analysis demonstrated that a well-coordinated transportation environment should be the primary aim of the policy makers in Athens, followed by other quality attributes such as service frequency and accessibility. In Thessaloniki, the sole transit operator should include in its policy plans immediate corrective measures addressing the service frequency, waiting time and vehicle cleanliness attributes.","Yannis Tyrinopoulos,Constantinos Antoniou",Transport Policy,2008
10.3141/2139-17,,,Individual Carbon Dioxide Emissions and Potential for Reduction in the Netherlands and the United Kingdom,"Using National Travel survey data from the Netherlands and the United Kingdom (UK), this paper examines how passenger transport emissions are divided across society and how similar this distribution is across these two countries. By looking across a series of data over time, the paper examines the extent to which the socio-economic characteristics of the main contributors of greenhouse gas (GHG) emissions are similar in these two countries. Based on the profiles of the main CO2 contributor, relevant policy measures are examined. The general effectiveness and acceptability of these measures are then discussed by drawing on pan-European (Eurobarometer) survey results. Analyses reveal that around 10% of the Dutch population is responsible for almost half of all travelrelated CO2 emissions in the Netherlands. Similarly, in the UK, around 20% of the population is responsible of the 60% of passenger transport-related CO2 emissions. Analysis of pan-European opinion surveys shows that there is a clear awareness among majority of the population that the type of car and the way it is used has an important impact on the environment. Despite this awareness, only a minority seem prepared to take action to reduce the environmnental consequences of their travel behaviour. The study supports the argument that the willingness to change behaviour is a complex mixture of individual and social interests. A major challenge is how to encourage changes in behaviour to reduce transport emissions with the right policies at the right time in the right place.","Yusak O. Susilo,Dominic Stead",Transportation Research Record,2009
10.1016/j.tra.2007.06.009,,,"Structural changes in commuters' daily travel: The case of auto and transit commuters in the Osaka metropolitan area of Japan, 1980-2000","Structural changes over time in commuters' travel patterns are examined by formulating and estimating simultaneous equations model systems of activity engagement and travel. Results of large-scale household travel surveys conducted in the Osaka metropolitan area of Japan in 1980, 1990 and 2000 are used with matching demographic, land use, and network data. Statistical examinations of the model systems indicate that the structural relationships underlying travel behavior have not been stable over the 20 years. Overall, expanding tendencies in out-of-home activity engagement and travel are exhibited by both auto and transit commuters, but in different ways. The study results challenge the conventional wisdom that auto travelers tend to chain trips; transit commuters make more stops and chain trips more often than do auto commuters in the Osaka area, suggesting that travel patterns are heavily influenced by transportation networks and land use developments.","Yusak O. Susilo,Ryuichi Kitamura",Transportation Research Part A-policy and Practice,2008
10.1016/j.tra.2006.05.004,,,Modal talk: Discourse analysis of how people talk about bus and car travel,"This paper presents the findings of discourse analysis of the transcripts of ten focus groups discussing bus and car travel. It finds that the modes are talked about in different ways: bus travel being referred to as a series of episodes mostly focussing on worst-case scenarios while car travel is represented as a more consistent commodity. Both modes exhibit different characteristics depending on whether the speaker is talking as a user or an observer. Buses are seen as benign from outside, beneficial to the area and potential congestion-busters but as vulnerable spaces for users. Nothing good was said about cars from outside, but they provided protective spaces supplying flexible travel and allowing social commitments to be met by users. This paper discusses how the insights gained could help improve the perception of bus travel and contribute to more sustainable travel choices.","J.W. Guiver,Jo W Guiver",Transportation Research Part A-policy and Practice,2007
10.1016/j.tranpol.2010.08.005,,,The quality of service desired by public transport users,"This article describes the methodology used to study the quality of service desired by users of a public transport system. The desired quality is different from the perceived quality because it does not represent the daily experiences of the users, but rather what they desire, hope for or expect from their public transport system. This is why it is important to study the desired quality, knowledge of which gives local authorities the background information for personalised marketing policies based on the user's requirements rather than their daily perceptions. The methodology goes through several stages, such as the use of focus groups to choose the most important variables for the users, the design and use of unlabelled stated preferences surveys and the calibration of discrete choice models. All of these help determine the weight of the most relevant variables. The analysis is carried out with different categories of users and potential users (those people not currently using public transport). Waiting time, cleanliness and comfort are shown to be the public transport variables that users most valued, but the degree to which they are valued varies according to the category of user. Variables such as driver kindness, bus occupancy and journey time are generally given less weight. The first two vary little by user category, but some variability appears for journey time. For potential users the more important variables when defining expected quality from public transport are waiting time, journey time and above all, level of occupancy. They consider the other variables to be of little importance when defining an efficient public transport service. In order to improve service quality and attract more passengers to public transport in general, the application of this methodology provides the authorities and operating companies with useful information to plan personalised marketing policies specifically directed at different categories of users and potential users of public transport.","Luigi dell’Olio,Angel Ibeas,Patricia Cecín",Transport Policy,2011
10.1080/01441647.2012.760671,,,Choosing Public Transport—Incorporating Richer Behavioural Elements in Modal Choice Models,"The development of behaviourally richer representations of the role of well-established and increasingly important influences on modal choice, such as trip time reliability and accounting for risk attitude and process rules, has moved forward at a fast pace in the context of automobile travel. In the public transport setting, such contributions have, with rare exception, not been considered. In this paper, we discuss and empirically illustrate the merits of advanced modelling developments aimed at improving our understanding of public transport choice, namely the inclusion of reliability in extended expected utility theoretic forms, to recognize risk attitude and perceptual conditioning, the consideration of passenger crowding and its inclusion in linear additive models, and the role of multiple heuristics in representing attribute processing as a way of conditioning modal choice. We illustrate the mechanics of introducing these behaviourally appealing extensions using a modal choice data set collected in Sydney.","David A. Hensher,John M. Rose,Waiyan Leong,Alejandro Tirachini,Zheng Li",Transport Reviews,2013
10.3141/1985-22,,,Does a Grande Latte Really Stir Up Gridlock?: Stops in Commute Journeys and Incremental Travel,"Does a stop that a commuter makes on the way to or from work adversely affect peak period traffic? This question is addressed by examining the effects of stops made as part of commute journeys on daily, as well as peak period, travel time and distance, in a 6-week travel diary data set from Germany. Increments in travel time and distance due to stops made in commute journeys are evaluated, and a panel regression analysis is performed to determine contributions of stops of different types to travel time and distance. It was found that the travel time and distance of a commute journey increase with the number of stops and that incorporating stops as part of commute journeys tends to make daily travel more efficient, with more distances traversed in relatively less time than when the same number of stops are all made outside the commute journey. Nonetheless, stops in commute journeys do add to peak period travel time and distance. Stops made before work do not produce much incremental travel in the morning peak period. Stops made after work, however, substantially add to peak period travel time and distance as well as daily travel time and distance. In particular, a home-based journey made after returning home contributes to afternoon peak traffic more than does a stop in a work-to-home commute journey.","Ryuichi Kitamura,Yusak O. Susilo",Transportation Research Record,2006
